index,doi,title,year,best_pdf_url,status,saved_path,http_status
0,10.1021/acs.biomac.8b00980,Recombinant Spidroins Fully Replicate Primary Mechanical Properties of Natural Spider Silk,2018,https://ntrs.nasa.gov/api/citations/20180007385/downloads/20180007385.pdf,downloaded,./pdfs/2018_Recombinant_Spidroins_Fully_Replicate_Primary_Mechanical_Properties_of_Natural_S_75bd0737.pdf,200
1,10.1016/s1369-7021(11)70057-8,Decoding the secrets of spider silk,2011,,no-pdf-url,,200
2,10.1038/s41467-019-13257-4,Artificial spider silk from ion-doped and twisted core-sheath hydrogel fibres,2019,,no-pdf-url,,200
3,10.1021/nl203108t,"Nanoconfinement of Spider Silk Fibrils Begets Superior Strength, Extensibility, and Toughness",2011,,no-pdf-url,,200
4,10.1093/molbev/msh204,Molecular and Mechanical Characterization of Aciniform Silk: Uniformity of Iterated Sequence Modules in a Novel Member of the Spider Silk Fibroin Gene Family,2004,https://academic.oup.com/mbe/article-pdf/21/10/1950/6395741/msh204.pdf,download-failed,,200
5,10.1021/acsnano.7b02305,Ultrastrong and Bioactive Nanostructured Bio-Based Composites,2017,,no-pdf-url,,200
6,10.1098/rspb.1999.0667,Liquid crystals and flow elongation in a spider's silk production line,1999,,no-pdf-url,,200
7,10.1021/acs.biomac.5b01685,"Influence of Water Content on the β-Sheet Formation, Thermal Stability, Water Removal, and Mechanical Properties of Silk Materials",2016,,no-pdf-url,,200
8,10.1002/pro.5560070315,Spider minor ampullate silk proteins contain new repetitive sequences and highly conserved non‐silk‐like “spacer regions”,1998,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pro.5560070315,download-failed,,200
9,10.1038/ncomms7892,Predictive modelling-based design and experiments for synthesis and spinning of bioinspired silk fibres,2015,https://www.nature.com/articles/ncomms7892.pdf,downloaded,./pdfs/2015_Predictive_modelling-based_design_and_experiments_for_synthesis_and_spinning_of__3d00c033.pdf,200
10,10.1126/sciadv.abo6043,1000 spider silkomes: Linking sequences to silk physical properties,2022,https://www.science.org/doi/pdf/10.1126/sciadv.abo6043?download=true,download-failed,,200
11,10.1242/jeb.014217,The effect of proline on the network structure of major ampullate silks as inferred from their mechanical and optical properties,2008,,no-pdf-url,,200
12,10.1126/science.1127946,Silk Genes Support the Single Origin of Orb Webs,2006,,no-pdf-url,,200
13,10.1002/adfm.202200986,Engineered Spider Silk Proteins for Biomimetic Spinning of Fibers with Toughness Equal to Dragline Silks,2022,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202200986,download-failed,,200
14,10.1073/pnas.0705759104,"Hierarchies, multiple energy barriers, and robustness govern the fracture mechanics of α-helical and β-sheet protein domains",2007,https://www.pnas.org/content/pnas/104/42/16410.full.pdf,download-failed,,200
15,10.1103/physrevapplied.10.024012,Design and Fabrication of Bioinspired Hierarchical Dissipative Elastic Metamaterials,2018,http://link.aps.org/pdf/10.1103/PhysRevApplied.10.024012,download-failed,,200
16,10.1002/advs.202305697,"Spider‐Silk‐Inspired Tough, Self‐Healing, and Melt‐Spinnable Ionogels",2023,,no-pdf-url,,200
